question,explication
Who was supported by clansmen from the Scottish highlands and raised and army in 1745?,"In 1745 there was another attempt to put a Stuart king back on the throne in place of George I’s son, George II.Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised and army."
"If you think someone is trying to persuade you to join an extremist or terrorist activity, who should you contact?","If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify yourlocal police force."
It is compulsory for 16 and 17-year-olds to join the National Citizen Service programme.,"False. The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project. Therefore,it is optional."
What is the name of the tour guides that tell visitors stories about the Tower of London’s history?,"Tours are given at the Tower of London bythe Yeoman Warders, also known as Beefeaters, who tell visitors about the building’s history."
"Which two countries developed the Concorde, the world’s only supersonic commercial airliner?","Britain and Francedeveloped the world’s only supersonic commercial airliner, Concorde."
Where is Snowdonia located?,Snowdonia is inWales.
Who wrote Sherlock Holmes?,Sir Arthur Conan Doyleis the author of Sherlock Holmes.
Which country was invaded by Germany in 1939?,Germany invadedPolandin 1939.
Who is the patron Saint of Wales?,The patron Saint of Wales isSt David.
Lake District is the largest national park of England.,This statement istrue.
What is the name of the area in London where famous theatres are located?,"London’s west end, also known as‘Theatreland’, is particularly well known for its theatres."
Which two of the following are key roles of school governors?,"Governors and school boards have an important part to play in raising school standards. They have three key roles:setting the strategic direction of the school, ensuring accountability andmonitoring and evaluating school performance."
What led the American colonies to want their independence from Britain?,The British government wanted to tax the colonies.
When did the Black Death take place?,In 1348 (Middle Ages)the Black Death came to Britain.
"Who was the leader of the suffragettes, the group that campaigned for women’s rights to vote?",Emmeline Pankhurstwas the leader of the suffragettes.
Cardiff is the capital city of which country?,The capital city ofWalesis Cardiff.
During the Great Depression in the 1930s which industry was badly affected?,During the ‘Great Depression’ in the 1930s the traditional heavy industries such asshipbuildingwere badly affected.
Who was the first man in the world to run 1 mile in under 4 minutes?,"Sir Roger Bannisterwas the first man in the world to run a mile in under four minutes, in 1954."
"Which festival celebrates the end of Ramadan, when Muslims have fasted for a month?","Eid al-Fitrcelebrates the end of Ramadan, when Muslims have fasted for a month."
What was the last battle between Great Britain and France?,"In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington atthe Battle of Waterloo."
Which flower is associated with Wales?,The flower associated with Wales is thedaffodil.
"During the reign of Charles II parts of London were destroyed, what was the cause of this destruction?","During Charles II’s reign, a greatfiredestroyed much of the city, including many churches and St Paul’s Cathedral."
How often are general elections held in the UK?,"MPs are elected at a General Election, which is held at leastevery five years."
"Scotland has its own banknotes, which are valid everywhere in the UK.",This statement istrue.
"What charity works to preserve important buildings, coastline and countryside in the UK?","The National Trustis a charity that works to preserve important buildings, coastline and countryside in the UK."
"Great Britain refers only to England, Wales and Scotland.",This statement istrue.
Who was the tribal leader who fought against the Romans?,"One of the tribal leaders who fought against the Romans wasBoudicca, the queen of the Iceni in what is now eastern England."
Who was voted the greatest Briton of all time in 2002?,"Winston Churchillremains a much-admired figure to this day, and in 2002 was voted the greatest Briton of all time by the public."
Which two houses form the UK Parliament?,The UK Parliament is formed of theHouse of Commons and the House of Lords.
When did women get the right to vote at the same age as men?,"In1928, women were given the right to vote at the age of 21, the same as men."
Who is the head of the Church of England?,The monarchis the head of the Church of England.
What sort of event is the Grand National?,The Grand National is ahorse racingevent.
What type of literature are the Canterbury Tales?,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. Thiscollection of poemsis called The Canterbury Tales.
When is Christmas Day?,Christmas Day is celebrated on the25th of December.
Who supported King Charles I during the Civil War?,During the civil war between the king and Parliament the country split intothose who supported the king (the Cavaliers)and those who supported Parliament (the Roundheads).
What battle is commemorated in the Bayeux Tapestry?,"The Battle of Hastingsis commemorated in a great piece of embroidery, known as the Bayeux tapestry."
"Where was Anne Boleyn, the wife of Henry VIII, executed?",Anne Boleyn was unpopular in the country and was accused of taking lovers. She was executedat the Tower of London.
Racial crime and smoking in public places are examples of:,Racial crime and smoking in public places are examples ofcriminal offences.
What type of character was played by Charlie Chaplin?,Sir Charles (Charlie) Chaplin became famous in silent movies for histramp characterand was one of many British actors to make a career in Hollywood.
You have to be at least 21 years old to stand as MP.,"This statement isfalse. Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties. These are the Conservative Party, the Labour Party, the Liberal Democrats, or one of the parties representing Scottish, Welsh or Northern Irish interests."
Who developed the radar?,Sir Robert Watson-Wattdeveloped the radar.
Where is the official home of the Prime Minister?,The official home of the Prime Minister is10 Downing Street.
"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","By law,radio and televisioncoverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
When does Easter take place?,Easter takes place inMarch or April.
Which of the following is not a valid UK coin?,There are no25pcoins in the UK currency.
Where is the Eden Project located?,"The Eden Project is located inCornwall, in the south west of England."
St Helena and the Falkland Islands are part of Great Britain.,"False. There are several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but arenotpart of it."
Which two of the following are fundamental principles of British life?,"The fundamental principles of British life include:democracy, the rule of law, individual liberty, tolerance of those with different faiths and beliefs and participation in community life."
Where should you register if you want to become part of a jury?,"People on the electoral register are randomly selected to serve on a jury. Therefore, if you want to be selected to form part of a jury you have to be onthe electoral registerand be between 18 to 70 years old."
What sort of church is the Church of Scotland?,"In Scotland, the national Church is the Church of Scotland, which isa Presbyterian Church."
Where does golf come from?,The modern game of golf can be traced back to 15th centuryScotland.
When do the television and newspapers have stories that are jokes until midday?,"On April Fool’s Day, the 1st of April the television and newspapers often have stories that are April Fool jokes."
What king was defeated by Oliver Cromwell during the Civil War and hid in an oak tree before escaping to Europe?,The correct answer isCharles II.
Who was the father of Queen Elizabeth I?,The father of Queen Elizabeth I wasHenry VIII.
Complaints against the police can ONLY be made by writing to the Police Complaints Commissioner.,"False. Anyone can make a complaint about the policeby going to a police station and writing to the Chief Constable of the police force involved.Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
Who is the patron Saint of Northern Ireland?,The patron Saint of Northern Ireland isSt Patrick.
"What is the name of the period when new ideas about politics, philosophy and science were developed?","During the 18th century, new ideas about politics, philosophy and science were developed. This is often called‘the Enlightenment’."
Which of the following statements is TRUE:,"Mary Stuart (‘Mary, Queen of Scots’) was aCatholic."
Which of the following is an example of civil law?,Discrimination in the workplaceis an example of civil law.
In which battle did Admiral Nelson die?,Admiral Nelson was in charge of the British fleet at theBattle of Trafalgarand was killed in the battle.
"William of Orange was asked by Protestants to invade England and proclaim himself king. But, when William reached England, there was no resistance and he took over the throne. This event was later known as:","William of Orange was asked by Protestants to invade England and proclaim himself king. When William reached England, there was no resistance and he took over the throne. This event was later calledthe ‘Glorious Revolution’."
What sort of charity is ‘Friends of the Earth’?,Friends of the Earth isan environmental charity.
If a husband forces his wife to have sex he can be charged with rape.,This statement istrue.
In which country of the British Empire did the Boer War (1899-1902) take place?,The Boer War of 1899 to 1902 took place inSouth Africawith settlers from the Netherlands called the Boers.
Which of the following actions is known as “canvassing”?,"Members ofpolitical parties persuade people to vote for their candidates– for instance, by handing out leaflets in the street or by knocking on people’s doors and asking for their support. This is called ‘canvassing’."
Which novel written by JRR Tolkien was voted the country’s best-loved novel in 2003?,"In 2003,the Lord of the Ringsby JRR Tolkien was voted the country’s best-loved novel."
When did Germany invade Poland?,Germany invaded Poland in1939.
As a British citizen what are your responsibilities (choose two answers)?,"If you wish to be a permanent resident or citizen of the UK, you should:respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
Who made the first coins to be minted in Britain?,"Thepeople of the Iron Agemade the first coins to be minted in Britain, some inscribed with the names of Iron Age kings. This marks the beginnings of British history."
Who built the Tower of London?,The correct answer isWilliam the Conqueror.
"There are 15 national parks in England, Wales and Scotland. What are national parks?","National Parks areareas of protected countryside that everyone can visit, and where people live, work and look after the landscape."
Northern Ireland has its own established church.,False. There is no established Church in Wales or Northern Ireland.
Which three territories form Great Britain?,"‘Great Britain’ refers only to England, Scotland and Wales,nottoNorthern Ireland."
How often are ’Prime Minister’s Questions’ held in the parliament?,Prime Minister’s Questions takes placeevery weekwhile Parliament is sitting.
Which king was executed in 1649?,The correct answer isCharles I.
Where was William Shakespeare born?,"Shakespeare was born inStratford-upon-Avon, England."
Which two of the following are famous British Paralympians?,Baroness Tanni Grey-ThompsonandEllie Simmondsare the correct answers.
Who was reigning in England when English settlers first began to colonise the eastern coast of America?,"InElizabeth I’s time, English settlers first began to colonise the eastern coast of America."
Scotland and Wales use a system called ‘individual registration’ where all those entitled to vote must complete their own registration form.,False. Northern Irelanduses a system called ‘individual registration’ and all those entitled to vote must complete their own registration form.
On what day is the birth of Jesus Christ celebrated?,"Christmas Day, 25th of December, celebrates the birth of Jesus Christ."
"What sort of battle was the ’Battle of Britain’, fought between Germany and Britain in the summer of 1940?",‘The Battle of Britain’ was a crucialaerial battlefought between Germany and Britain in the summer of 1940.
Where is Swansea located?,Swansea it is located inWales.
Which two political parties formed a coalition in 2010?,"In May 2010the Conservative and Liberal Democrat partiesformed a coalition and the leader of the Conservative Party, David Cameron, became Prime Minister."
Who established the Church of England?,The correct answer isHenry VIII.
"In 1348, one third of the population in England, Wales and Scotland died as a result of which disease?","In 1348, a disease, probably a form of plague, came to Britain. This was known asthe Black Death. One third of the population of England died and a similar proportion in Scotland and Wales."
Haggis is a traditional food from which area?,Haggis is a traditional food fromScotland.
Which court deals with minor criminal offences in Scotland?,"In Scotland, minor criminal offences go to aJustice of the Peace Court."
Which two of the following records give us information about England during the reign of William I?,The Domesday Book and the Bayeux Tapestry.
"In 1913, the British government promised ‘Home Rule’ for Ireland, why were changes in Ireland delayed until 1921?",The outbreak of the First World Warled the British government to postpone any changes in Ireland.
Which of the following statements is true:,Elizabeth I was aProtestantand she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.
Which two documents do you need to apply for a National Insurance number?,To apply for a National Insurance number you needdocuments that prove your identity and that you have permission to work in the UK.
"As a British citizen, you should:",As a British citizen you shouldrespect and obey the law and look after the area in which you live and the environmentare the correct answers.
When is Halloween celebrated?,Halloween is celebrated onthe 31st of October.
The Bill of Rights in 1689 gave women the right to vote.,"False. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."
What is the name of the most famous cricket competition played between England and Australia?,"The most famous cricket competition isthe Ashes, which is a series of Test matches played between England and Australia."
What was the biggest source of employment during the 18th century?,"During the 18th century,manufacturing jobsbecame the main source of employment in Britain."
"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the battle of Bannockburn, and Scotland remained unconquered by the English.",This statement istrue.
Which of the following is an example of criminal offence?,Smoking in public places.It is against the law to smoke tobacco products in nearly every enclosed public place in the UK. There are signs displayed to tell you where you cannot smoke.
Which Scottish clan was killed for not taking the oath?,The correct answer isthe MacDonalds of Glencoe.
Which two issues can the devolved administrations pass laws on?,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such ashealth and education, are controlled by the devolved administrations."
The assassination of the Archduke Franz Ferdinand of Austria in 1914 led to which of the following wars?,"On 28 June 1914, Archduke Franz Ferdinand of Austria was assassinated. This set off a chain of events leading tothe First World War(1914-18)."
What is the capital city of Scotland?,The capital city of Scotland isEdinburgh.
In 1833 the Emancipation Act abolished slavery throughout the British Empire.,This statement istrue.
What is the name of the process by which many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle?,A process began which became known asthe ‘Highland Clearances’. Many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle.
The Falkland Islands are a British overseas territory and are part of the United Kingdom.,False. The Falkland Islands are a British overseas territory. They are also linked to the UK but arenotpart of it.
Which two of the following are Civil War Battles?,The Battles of Marston Moor and Naseby.
What was the name of the activist group who fought for the women‘s right to vote?,"In the late 19th and early 20th centuries, an increasing number of women campaigned and demonstrated for greater rights and, in particular, the right to vote. They formed the women’s suffrage movement and became known asthe ‘suffragettes’."
What UK landmark was voted as Britain’s favourite view in 2007?,"In 2007, television viewers votedWastwater (Lake District)as Britain’s favourite view."
Who were the first people to live in Britain in what we call the Stone Age?,The first people to live in Britain werehunter-gatherers.
What is the name of the movement against the authority of the Pope and the ideas of the Catholic Church that took place during the reign of Henry VIII?,The correct answer isthe Reformation.
What do you need to do to apply for a National Insurance Number?,"If you have permission to work in the UK,you will need to telephone the Department for Work and Pensions (DWP)to arrange to get a National Insurance number."
Which of the following is a major horse-racing event in England?,"Famous horse-racing events include:Royal Ascot, a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr."
How many members form a jury in Scotland?,In Scotland a jury has15 members.
What is known as Lent?,The 40 days before Easterare known as Lent.
When was the last successful foreign invasion of England?,The Norman Conquest was the last successful foreign invasion of England in1066.
World War II started as a result of Germany invading which country?,The Second World War started when Hitler invadedPolandin 1939. Britain and France declared war in order to stop his aggression.
Which flower is associated with Scotland?,The flower associated with Scotland isthe thistle.
Police complaints can only be made by writing to the Chief Constable of the police force involved.,"False. Anyone can make a complaint about the policeby going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
Which of the following is a responsibility of the Home Secretary?,"The Home Secretary is responsible forcrime, policing and immigration."
When is St David’s day celebrated?,"St  David’s day, patron of Wales, is celebrated on the1st of March."
"What happened to ‘Mary, Queen of Scots’ after she spent 20 years in prison?","Mary was eventually executed, accused of plotting against Elizabeth I."
What did Francis Crick discover?,Francis Crick discoveredthe structure of the DNA molecule.
"Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK.",This statement istrue.
"How many national parks are there in England, Wales and Scotland?","There are15national parks in England, Wales and Scotland."
Is Northern Ireland part of Great Britain?,"‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland."
"If you are a dog owner, which two things should your dog’s collar have when you go out for a walk?",All dogs in public places must wear a collar showingthe name and address of the owner.
What day relates to the death of Jesus Christ?,Easter takes place in March or April. It marks the death of Jesus Christ onGood Fridayand his rising from the dead on Easter Sunday.
A responsibility of the MPs is to represent everyone in their _______.,A responsibility of the MPs is to represent everyone in theirconstituency.
What was achieved with the Magna Carta?,"The Magna Carta established the idea that even the king was subject to the law. It protected the rights of the nobility andrestricted the king’s powerto collect taxes or to make and change laws. In future, the king would need to involve his noblemen in decisions."
Female genital mutilation (FGM) or taking a girl or woman abroad for FGM is illegal in the UK and it is a criminal offence.,This statement istrue.
What year were women given the right to vote?,"In1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
Which two of the following are British overseas territories?,"There are several British overseas territories, such asSt Helena and the Falkland Islands. They are linked to the UK but are not part of it."
Who did the English defeat in 1588?,In 1588 the English defeatedthe Spanish Armada(a large fleet of ships).
Who designed the Cenotaph?,"Sir Edwin Lutyenswas responsible for designing many war memorials throughout the world, including the Cenotaph in Whitehall."
How often are the members of the Welsh government elected?,There are 60 members of the Welsh government or members of the Senedd (SMs) and elections are heldevery four yearsusing a form of proportional representation.
During which period did the Beatles become popular and social laws were liberalised?,"The decade of the1960swas a period of significant social change. It was known as the ‘swinging sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones. It was also a time when social laws were liberalised, for example in relation to divorce and to abortion in England, Wales and Scotland. The position of women in the workplace also improved."
The Man Booker Prize is awarded in which of the following categories?,"The Man Booker Prize for Fiction is awarded annually forthe best fiction novel (literature)written by an author from the Commonwealth, Ireland or Zimbabwe. It has been awarded since 1968. Past winners include Ian McEwan, Hilary Mantel and Julian Barnes."
What sort of election takes place when a member of the Parliament (MP) dies or resigns?,"If an MP dies or resigns, there will be a fresh election, called aby-election, in his or her constituency."
What is the Turner Prize?,The Turner Prize was established in 1984 and celebratescontemporary art. The Turner Prize is recognised as one of the most prestigious visual art awards in Europe.
Which flower is associated with Northern Ireland?,The flower associated with Northern Ireland isthe shamrock.
The last battle between Britain and France was the battle of Waterloo.,This statement istrue.
£100 is the highest value note in circulation in the UK.,This statement isfalse.
Where is the Lake District National Park located?,Lake District is inEngland.
Which two responsibilities will you have as a British citizen?,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law,look after yourself and your family,respect the rights of others, including their right to their own opinions,treat others with fairness and look after the area in which you live and the environment."
Who was born in Stratford-upon-Avon?,"William Shakespearewas born in Stratford-upon-Avon, England."
Why is 1928 an important year in women’s voting history?,"Women were given the right to vote at the age of 21, the same as men."
What does Hogmanay refer to?,"In Scotland,the 31st of December (New Year’s Eve)is called Hogmanay."
What is the capital city of Northern Ireland?,The capital city of Northern Ireland isBelfast.
Which of the following wars took place between 1899 and 1902 in South Africa?,The Boer War.
Northern Ireland uses a system called ‘individual registration’ and all those entitled to vote must complete their own registration form.,This statement isTrue.
Which two of the following policies are not controlled by the devolved administrations?,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control.However, many other public services, such as education, are controlled by the devolved administrations."
"How old do citizens of the UK, the Irish Republic or the Commonwealth have to be to stand for public office?","Most citizens of the UK, the Irish republic or the Commonwealth aged18 or overcan stand for public office. There are some exceptions, including: members of the armed forces, civil servants and people found guilty of certain criminal offences."
How did the Government promote policies of free trade during the Victorian Age?,"During Victorian times, the government began to promote policies of free trade,abolishing a number of taxes on imported goods. One example of this was the repealing of the Corn Laws in 1846. These had prevented the import of cheap grain. The reforms helped the development of the British industry, because raw materials could now be imported cheaply."
Who was Admiral Nelson?,Admiral Nelson wasin charge of the British fleet at the Battle of Trafalgar against the Spanish fleetand was killed in the battle.
"During the Middle Ages, who were the serfs?",Serfs werepeasants who had a small area of their lord’s land where they could grow food.
Which invention lead to the rapid development of the industry in Britain during the 18th and 19th centuries?,The Industrial Revolution was the rapid development of industry in Britain in the 18th and 19th centuries. Britain was the first country to industrialise on a large scale. It happened because of the development of machinery and the use ofsteam power.
MPs can only be contacted by post.,"False. You can contact MPs byletter or telephoneat their constituency office, or at their office in the House of Commons. In addition, many MPs, Assembly members, MSPs and MEPs hold regular local ‘surgeries’, where constituents can go in person to talk about issues that are of concern to them."
What movement challenged the authority of the Pope?,The Reformationwas a movement against the authority of the Pope and the ideas and practices of the Roman Catholic Church.
What English King introduced the Domesday Book?,"William the Conquerorsent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book."
What did ’the Butler Act’ introduce in 1944?,"Richard Austen Butler became a Conservative MP in 1923 and held several positions before becoming responsible for education in 1941. In this role, he oversaw the introduction of the Education Act 1944 (often called ‘The Butler Act’), which introducedfree secondary education in England and Wales."
What is the small claims procedure?,The small claims procedure isan informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer.
What building was constructed in Hyde Park to hold the Great Exhibition of 1851?,"In 1851, the Great Exhibition opened in Hyde Park inthe Crystal Palace, a huge building made of steel and glass. Exhibits ranged from huge machines to handmade goods."
Who was Florence Nightingale?,Florence Nightingale wasa nurse. She is often regarded asthe founder of modern nursing.
Who is the patron Saint of England?,The patron Saint of England isSt George.
Where is Loch Lomond and the Trossachs National Park located?,Loch Lomond and the Trossachs National Park is located inthe west of Scotland.
Wales has its own established church.,False. There is no established Church in Wales or Northern Ireland.
What stories are associated with Geoffrey Chaucer?,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage.  This collection of poems is calledThe Canterbury Tales.
When is Boxing Day celebrated?,Boxing Day isthe day after Christmas Day(26th December)and is a public holiday.
What is the name of the holiday when banks and many other businesses are closed for the day?,"There are public holidays each year calledbank holidays, when banks and many other businesses are closed for the day."
Why were women given the right to vote?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partlyin recognition of the contribution women made to the war effort during the First World War."
What do you need to drive in the UK?,"In the UK, you must havea driving licenceto drive on public roads."
Where does “the Fringe” festival take place?,"The Edinburgh Festival takes place inEdinburgh, Scotland, every summer. It is a series of different arts and cultural festivals, with the biggest and most well-known being the Edinburgh Festival Fringe (‘the Fringe’)."
How many members does the Welsh government have?,There are60 membersof the Welsh government or members of the Senedd (SMs) and elections are held every four years using a form of proportional representation.
The names or photographs of  young people found guilty of a crime can be published in newspapers or used by the media.,"False. Members of the public are not allowed in Youth Courts, andthe name or photographs of the accused young person cannot be published in newspapers or used by the media."
What was Edward Elgar famous for?,Sir Edward Elgar (1857-1934) was amusician. His best known work is probably the Pomp and Circumstance Marches. March No1 (Land of Hope and Glory) is usually played at the Last Night of the Proms at the Royal Albert Hall.
Which of the following is not a British banknote?,There are no£25notes in the UK.
Where does the Scottish Grand National take place?,The Scottish Grand National takes place atAyr.
The laws passed after the Glorious Revolution marked the beginning of the ______.,The laws passed after the Glorious Revolution marked the beginning of theconstitutional monarchy.
"During the reign of Elizabeth I, a large fleet of ships was sent to England to conquer the country and to restore Catholicism, where did this fleet come from?","Elizabeth I became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent bySpainto conquer England and restore Catholicism."
What did the Habeas Corpus Act introduce?,The Habeas Corpus Act became law in 1679. This was a very important piece of legislation which remains relevant today. Habeas corpus is Latin for ‘you must present the person in court’. The Act guaranteed that no one could be held prisoner unlawfully.Every prisoner has a right to a court hearing.
What did Emmeline Pankhurst fight for?,"Emmeline Pankhurst she set up the women’s Franchise League in 1889, which fought to get the vote in local elections for married women. In 1903 she helped found the Women’s Social and Political Union (WSPU). This was the first group whose members were called ‘suffragettes’. The group used civil disobedience as part of their protestto gain the vote for women. In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
What is “the Proms”?,"The Proms isan eight-week summer season of orchestral classical musicthat takes place in various venues, including the Royal Albert Hall in London."
